region,year_month,zone_total_extracted,zone_reserves,zone_percent_extracted_total,ep_sA_reserves,zone_exhaustion,zone_avg_sA
rX,200612,65533646.0,71687672.0,898.1413229588328,14468356.492066894,91.4155030728296,0.20182488966955006
rX,200701,44632552.0,47142934.0,407.86843331866595,9428371.859342702,94.67495595416273,0.1999954406601571
rX,200702,34116930.0,34559028.0,270.4306822494456,7026328.098792035,98.72074527096075,0.20331382291168706
rX,200703,7881512.0,9081163.0,103.341954455743,1874271.3975961185,86.78967660860178,0.20639111946301575
rX,200704,12141980.0,14639549.0,141.01337667013746,3040536.962367895,82.93957689543578,0.20769334918499846
rX,200705,23319477.0,27770565.0,239.43729725007495,5742917.384952847,83.97192134909751,0.20679872321477244
rX,200706,12576149.0,17078382.0,112.5093606556605,3386617.8249849053,73.63782470728198,0.1982985170951736
rX,200707,5788139.0,7231481.0,47.53016070836945,1412077.586863882,80.04085193613867,0.19526810439851558
rX,200708,11986326.0,16976474.0,107.44631416399876,3263956.995859968,70.60550971892043,0.19226354046546815
rX,200709,18470734.0,23749262.0,189.5431936367558,4580039.636603139,77.77392830143522,0.19284976672551507
rX,200710,8165635.0,9403076.0,77.73548068441,1821023.4303676202,86.84004042932334,0.19366252387703983
rX,200904,526.0,492412.0,2.431732906432238,102637.166823836,0.1068211172757772,0.20843758239814628
rX,200905,388.0,93940.0,1.5050370190557107,24082.041963980002,0.4130295933574622,0.256355567
rX,200906,1144.0,276958.0,2.1106869453383355,68028.471934694,0.4130590197791723,0.24562739453164018
rX,201506,4411.0,994698.0,7.072621276622111,244138.74975232803,0.44345117814653295,0.2454400730194773
rX,201507,22632.0,2017456.0,10.948936056520546,495464.9814979159,1.1218088523368044,0.2455889900438552
rX,201508,21528.0,2793936.0,13.433093840904512,639421.4147448281,0.7705258817667978,0.22886043729878858
rZ,201307,2201.0,462464.0,10.277842633667989,108325.92697284801,0.4759289371713257,0.23423645294087325
rZ,201308,30511.0,1806588.0,22.996902525263277,439959.09887373506,1.6888742757064696,0.24353040033130688
rZ,201310,1364.0,330437.0,3.0935052315658913,56528.88304514,0.4127867036681727,0.1710731033302566
rZ,201311,190.0,193248.0,0.6247739304856795,34415.711982431996,0.09831925815532373,0.178090909
rZ,201401,9353.0,2098234.0,15.976138125862631,424510.57433905604,0.4457558117922024,0.20231803237344168
rZ,201402,29473.0,2898048.0,50.58759213455808,602245.406766783,1.0169948875933041,0.20781070802373977
rZ,201403,22898.0,1740909.0,21.911550747163563,345177.067959531,1.3152898859159208,0.1982740441686102
rZ,201404,31067.0,2292493.0,25.570039694282254,452024.435889676,1.355162262218467,0.19717592851523472
rZ,201405,65991.0,3869967.0,42.314280320370706,795616.533669872,1.7052083389858363,0.2055874206859831
rZ,201406,39739.0,3253402.0,38.125567460982005,581250.8201394741,1.2214598749247711,0.17865939104342904
rZ,201407,170221.0,8464363.0,66.67691364720017,1748820.9067949483,2.011031426700391,0.20660986618779797
rZ,201408,291555.0,10206939.0,70.06037231152035,2036002.2854967494,2.856439134200763,0.19947236732743767
rZ,201409,139462.0,5802243.0,45.677703326869576,1234969.880716541,2.4035877159919017,0.21284352977228652
rZ,201410,427853.0,14854627.0,109.49866682535793,2952481.192356393,2.880267542227752,0.1987583526908076
rZ,201411,649524.0,17457455.0,101.09664866671574,3478295.8545346474,3.7206110512672095,0.19924415411837793
rZ,201412,3345005.0,69624970.0,357.655579048308,13786406.339596637,4.804318048539195,0.1980095120988438
rZ,201501,4282463.0,69893544.0,334.24480075596625,13559311.781061258,6.127122413480707,0.1939994884371761
rZ,201502,5330807.0,77860340.0,278.6373636256411,15335727.36120028,6.846626921999056,0.19696455681031294
rZ,201503,5646934.0,82370417.0,294.2918252662991,15436557.521529496,6.855536496798359,0.18740414439724756
rZ,201504,8428235.0,103277113.0,389.5901806325797,19333663.28115033,8.160796477724935,0.18720181770718483
rZ,201505,15023340.0,150637183.0,827.8617985194653,28788917.836725842,9.973194997944166,0.19111428707961062
rZ,201506,10056713.0,95595264.0,414.67845639276345,17133577.798852712,10.520095430669034,0.1792304041218267
rZ,201507,10023714.0,83552757.0,424.1035650441047,15750289.359394778,11.996868038717142,0.18850711723845065
rZ,201508,11805527.0,89745979.0,460.0058345864979,17523756.254837383,13.154379874779682,0.19525951413196332
rZ,201509,16916599.0,127888613.0,638.9525177419365,24755342.441378564,13.227603774231254,0.19356955917082755
