datestring,total_extracted,number_extract_points,average_exhaustion,average_sA,average_percent_extracted_per_point,date,pA,pB,pD,pC
20150303,32348.0,156.0,70.07803755210871,0.18431314346658215,0.6410256410256407,3/3/2015,0.19,1.9380000000000002,0.02,
20150304,37282.0,164.0,51.02169325838928,0.1735356366494555,0.6097560975609755,3/4/2015,0.20600000000000002,1.986,0.023,
20150305,35193.0,164.0,75.04252184856148,0.18134417799559577,0.609756097560975,3/5/2015,0.198,2.22,0.025,
20150306,37425.0,160.0,71.597534796961,0.179238835117996,0.625,3/6/2015,0.2,1.94,0.02,
20150307,35233.0,187.0,73.03952592388396,0.1806116070083728,0.5347593582887702,3/7/2015,0.192,2.201,0.025,
20150308,35286.0,143.0,82.56883352481016,0.17830876052499575,0.6993006993006987,3/8/2015,0.209,2.108,0.023,
20150309,38394.0,169.0,68.0875098572125,0.17906227794092827,0.5917159763313607,3/9/2015,0.185,1.9509999999999998,0.018000000000000002,
20150310,34052.0,158.0,73.69221372234294,0.18020416012469165,0.6329113924050626,3/10/2015,0.19699999999999998,2.06,0.024,
20150311,36325.0,122.0,79.705635270851,0.17491820111534756,0.8196721311475412,3/11/2015,0.204,2.094,0.022000000000000002,
20150312,31902.0,115.0,78.68883560058254,0.1791546917135916,0.8695652173913051,3/12/2015,0.201,2.0340000000000003,0.017,
20150317,35923.0,158.0,79.085117806255,0.17534767239209906,0.6325240214040089,3/17/2015,0.185,2.181,0.018000000000000002,
20150318,32349.0,146.0,71.46022277977795,0.17587122420634332,0.6849315068493151,3/18/2015,0.17600000000000002,1.996,0.018000000000000002,
20150319,36051.0,156.0,73.34577767212302,0.1747082271141716,0.6410256410256415,3/19/2015,0.19,2.044,0.021,
20150320,27665.0,179.0,60.14879428885339,0.1806856037681547,0.5586592178770949,3/20/2015,0.179,2.025,0.022000000000000002,
20150321,43393.0,161.0,76.53058203249658,0.17847406349429631,0.62111801242236,3/21/2015,0.18,2.022,0.018000000000000002,
20150322,37878.0,151.0,63.45528085277797,0.18013928791583506,0.6622516556291383,3/22/2015,0.16899999999999998,2.17,0.025,
20150323,39132.0,145.0,70.05514018301331,0.17079164176471942,0.6896551724137935,3/23/2015,0.15,2.0980000000000003,0.02,
20150324,31758.0,137.0,63.40255501123843,0.17490330828159834,0.7299270072992704,3/24/2015,0.174,1.88,0.018000000000000002,
20150325,29745.0,165.0,64.09162589293004,0.1755949503507673,0.597503321973841,3/25/2015,0.182,1.9609999999999999,0.02,
20150326,35894.0,169.0,58.671091050542834,0.17857840763440025,0.5895970145306574,3/26/2015,0.16699999999999998,1.703,0.022000000000000002,
20150331,30949.0,128.0,60.65785112645354,0.18201797718546642,0.7812500000000001,3/31/2015,0.16399999999999998,,,
20150401,36970.0,147.0,65.09139206831526,0.17517790849705167,0.6802721088435372,4/1/2015,0.17,1.8840000000000001,0.018000000000000002,
20150402,34957.0,163.0,70.5206651525068,0.17723341317289826,0.6111716235377223,4/2/2015,0.16699999999999998,2.0469999999999997,0.017,
20150403,36416.0,152.0,68.80336839850936,0.17691421511645977,0.6578947368421056,4/3/2015,0.18600000000000003,2.0380000000000003,0.023,
